NIN,NAME,BENEFITS,ADDRESS,BALANCE,ACC_NAME,DATE
5783645235813731180,a3ef3891-7592-49e1-a452-dea92525a194,0.05350481339465529,DhdPwrGzwsSS,0.006962922747258293,ScShoeCTcpEdYlynhrWexxyMTHTCGL,2019-01-04
6422939167863751447,038afd94-0f58-4dd8-952e-01cd879364e9,0.47751433499483087,zesphfRPypgu,0.2265525544876157,iiBKsGNQDQLRazfvvKvXQuEfxVoWUF,2018-11-09
8518978036451242232,a3ecfce3-7053-4f4d-93a6-9dccf273dc1c,0.4710840133493335,zzrPORoyhQJl,0.34986457704812746,QtaefgRztOEXbjKFwbmjSMoiwFCqdA,2018-12-24
8411826786731208285,c4b7cf90-ad26-4b99-9fa4-00415644710c,0.3587372439504999,fqpOGYJRXqXn,0.7858885417321853,iHohiQunpprCBwgRhkuSemkrhAIpXz,2019-10-28
5840415613527384861,e008a8f3-ce3b-4072-9942-a74228b8a6d3,0.559867622406162,WqUEirDYrYaZ,0.29166019298288914,VMXMnVHmilIOzorVFcjSqjYJuNXMhV,2018-12-03
5361395597300185144,a0da0b37-05dc-43b1-a2af-69f629f82f10,0.8614844786314294,gyaDIjPafXwy,0.022635845013904254,zjtmsRnwfsLcEsMPfXmZhtqbmikcdC,2018-06-02
6953396489221706100,b1e666e8-90a1-4326-a32a-bae4b0a94e8b,0.33394691429125634,fjmQblPVzmpk,0.5110351845160407,XLbwLzxHRSFKAEhyqYvHLPJOSnpVkC,2019-08-24
8263750425621192366,78d41ec4-a23a-4c5e-960b-ed174333da95,0.9503355259677307,qRtNlIaFNIaG,0.8628832742432242,mEJTHlICWBweHLxkfhhhFtSCbquVPm,2019-12-13
6995233659469499478,6f07c0d0-deb2-4f6b-8d9b-f390715f1f69,0.017173610401864603,EpZNkAutJJhN,0.6792462251056338,PkeqrKXnKTFyzYvOwhhvbOwIQxjfcu,2019-10-27
7889195398317200164,ff4c2f4a-0ac7-43dd-944a-3bdd786a9fcb,0.33931134886180614,eNoGSRXZgDcz,0.10043816619903057,yOSSbqDotQzJnKXbiwrcrogmVCMYTS,2019-10-29
5099381370807412705,9aec5767-9f2d-4123-9888-de921ff16658,0.4222297113207698,sGbLWNtBiimp,0.19041791915573458,hBFNJAtpvJqmfEriezpSETQBtSvNZF,2019-12-11
6206264051267885653,8ae461ff-afec-4adb-a7cd-fd988a47515e,0.13774749645368578,tkJBxNmxxqVY,0.33226569433156605,EskeNqoOHVSjVBpWNGsPvLeHzDXAqG,2018-06-14
6761797833181314375,4b6e5e51-6538-40ed-98a1-04ed8f0f98d7,0.37726658194640195,VzCHZPrdzSes,0.32615524812530305,afMHfrSzsDcPFEBrStLYhcofmSBDnF,2018-02-07
7529529023809642201,35f9bc33-ade8-41f4-b188-902e0edab7d3,0.9392965851226005,mIeCEMhsEYNm,0.7075430667873442,qTyGOyxuBDAEFtTlSDvqafwGiQCCxM,2018-03-17
9017585261599907315,5ab9f0ad-0ac3-4770-a532-15b6585ea706,0.4347964502172531,heZxZDaQagVo,0.4457847664669966,ghQqhjhFTJUOAWZMjbbgGSxvAxLYeY,2018-06-30
5464031762673825100,f1329ddd-a2a0-4951-a072-9b0963c5c21f,0.5160218695981409,bNecXqfhkwAe,0.03606538811468518,lXYCGxGeKXfkyQOaHydcsylgwqtwsY,2018-10-03
5755804542259378319,2a76778f-b3e6-46f2-806d-b5af015eabe8,0.4208717605494152,kIuXoJkAHKWG,0.3363426653819994,WtCeMsaNsfPNVdiYVAXswOQckkdNTX,2019-07-01
