NIN,NAME,BENEFITS,ADDRESS,BALANCE,ACC_NAME
369,61539842-58d0-4544-9304-0a9654763bc2,0.11473742033791345,RjdiOxHgNQKP,0.7399064541307606,nxRCovlHiabRGTqXGibgfOJAMAxfaF
881,82f109e7-71ab-4d21-9d1f-a688cfdddd97,0.9414278091507046,IHSMYaCztyVL,0.2791627459545305,sxUEkqVqICRXfScqiZxKbWnKJLxFAe
420,d45f37c0-7ed9-4d86-ba81-e6f28b8958be,0.9851933200230407,TbdApJmUoyDo,0.1393465614877608,xEBgqecwmbyqMzOwzofHwQQZfIxwaF
786,1c30df34-55b4-435c-858e-e30082455290,0.4292189971835625,sDXxvPzppvsD,0.7794489034686167,hWegpQtTYzShupIlohhcifzfvCpnsQ
625,e10a6d1b-59c2-4bfb-9292-f27379cbc4b1,0.8798471458795096,HtdadQibYNbj,0.7508516379253343,eUUjufGfGosEuisZjPBGoDNTlUarNH
794,edc50c98-8cd4-4873-9854-6f4c99037532,0.43648192623491844,nZMXHnHgzFGR,0.8122794668496489,ZGMcCsKntYDQwjtcihjZWOsmBhVyHI
700,7c70aab6-a947-4c8c-9d4e-68a6ce0fcc4a,0.6563791607913623,dlVlYGgdauok,0.1940362330690082,tGTSAfVEmjAPLWklJGPrHKenlXoAvy
402,185a6992-9b9d-4af1-97d2-63008f9d907e,0.41435221646902987,VBozJnXwSGNA,0.868643047171751,nvCQFadSRhIpjUfTWtcFIoTBafdMfN
120,a2f3530b-0e31-447c-8cfd-295c1465082b,0.13624152087010855,vIjBjzrxtDup,0.31212384920750336,OSfLtjVhOwMtdRDHBqhoiRMKVyAQsf
178,c28d9c78-1174-46d4-b39b-cb3769a87dbc,0.8914368459543554,lPxTdAfOZjZw,0.5793504962695523,qHBDBfKTzwJHMxQbqZGbmdaTxmdnGB
697,79e740b4-a4e3-41ae-b7b6-172c29d1a8ae,0.34713906605269085,FVykXDLDaICr,0.017517572829768846,AoLmwnEudbhtFAbEsmbBJIqKcwsNYg
13,c817cb39-6c75-47d7-ac84-1c78bd5269dd,0.15480326831798197,QfshzcYKpcYt,0.5796528402286402,RODtGmWsZOgEbikoRlsBcvUVVHneiO
675,0dd3d911-2598-4fa3-b2ea-85e29f995e06,0.5890843587745296,mSxrtXfgSqNM,0.6932816173138947,kqPrXRUYcfFuAmlKbEKpvzLaTtxlLG
501,860aa31f-d682-418b-9f74-6e70d3f88e1f,0.7397788962999335,MtYRkYDpTyox,0.4303580647660469,wOcyuzJsXuHjyQeRpVCUquPGWfvOZB
905,153f1f47-d395-45f1-9864-66cae3632d82,0.2875748907349446,BYWUVeBOCKQB,0.9014134791986225,PWdjjcUHwlOcdaZzBkFGlXOhdFHrlA
66,2a0bf8ac-7a74-4570-9641-8b2a60153eff,0.8071746247306246,KIMFmUnEMxFf,0.22369793631983326,GfUNabViXXFKnSVGGLTzhAWhIAxwnT
691,3e51a7d0-532b-4cdc-824d-826c5ab6ae59,0.7400866022776686,OwqAggWcQgps,0.6947588716337441,bQGOOsJWAfkuQAwBrudPHidKkXluHj
292,8b4d2ea1-0948-46d5-be61-a4ca11cb03ee,0.3248188661833282,XYzmeUuTNgBp,0.5935202413302139,XWUnvcBglgOPtZVxMobXZbcUJCkTwF
579,1767bcb8-3889-4b4a-943b-c36de1ea2798,0.6599886199292789,VelXVQLDjjYp,0.11185500004108406,JSDTbDfsnpqVeyWPPOUinYPcrKWusn
799,3373e3b1-5a83-48fa-9924-6ddac952750c,0.39263900797332785,DHYfBulPOrJx,0.08983046004608353,XoBIUlrVwDOIixFQIUiVaRyUOOlMOU
