NIN,NAME,BENEFITS,ADDRESS,BALANCE,ACC_NAME,CODE,DATE
cb47cf5d-fd58-4fc3-b1e3-4b506d0bc5d1,16e41228-27f9-4c4a-8feb-7b4fc3bd203d,0.8982693309023385,afBiVeDjjBIs,0.02725807618429521,AwQbyplejzshWHQkRUggWLdPJpNSnz,313,2018-12-30
ccd6c038-bd36-4992-9131-544851031ce7,2b4e78bd-a624-44af-8bbd-cda9582617cf,0.3196330410659638,OGYJgmglsowX,0.5085309876903409,DoOBooQgyUFGVIDZavACYgelqfpGzl,289,2018-02-09
ddc105f2-c985-428a-8b22-ba0be878a861,c3a86a03-a208-4d93-b740-03fee75c624f,0.5199031399499263,XkugFkmVFQGS,0.3619069946748802,RpAYYxXixbsEjwmAvvxqCLZFpzmXKy,415,2019-01-27
e2f2429b-4bec-4b6f-aeeb-c3ca3c87c39f,2c61ddd6-25ff-457f-b87e-14632cc98bdc,0.19583696876567058,yVWUeSkwvugS,0.22062825262807784,cFoaBqsutJrWrsGnayhRLJCcZNgLri,27,2018-06-14
304374d5-1b80-47b9-bd33-544ff742454a,de98a4d2-6944-4ee1-ae04-0e86aacd0cc9,0.6410096064767218,wfsPzqMqgPkV,0.9653064123257526,swZOXtLlidssECrCVOGEwHcauCRUqN,274,2018-11-08
ebe5069c-3f60-40ec-9114-bbc3e883e160,b517a603-978e-4e79-89f5-fbc87548888c,0.5480248375361706,aXEacunLBMIn,0.555387447270205,nnyIFrNxJHVOJffOWhBnRGWNAcJcrH,300,2019-03-30
64492e30-5261-4f19-8d16-e084d79d77d1,37cf1aa4-72bd-4cdc-bfcd-650c06effbca,0.7016500476205467,aQWHzEZOJsQK,0.7272524775799937,iUzeVCtzgvpDFRDfcbhvLageKgNYYM,381,2018-10-27
fa47e519-d897-4390-812e-351001bde9e8,a6144c65-eb4f-48c8-b753-39b09c093e2b,0.43540420356935894,uNwliaATHxzx,0.37494729599621657,DvuUsielRqNNYeMfAcRGPcwonpXEav,415,2019-08-25
f97af97c-fa49-4c37-bde0-176085aeb992,8d86993f-d94e-410a-921e-98b1a1bf43fb,0.11339127360451617,lWOxtOyVBUtJ,0.6786107387476565,qArvaCVPCSHNmvHHWjyGFFUlOlRNwS,197,2019-02-03
73625300-13ec-48a4-9495-a3a44e830afe,2e506f6e-df0b-4234-94fe-f199bda4c764,0.33580436239922373,mKMVkqbPDcVF,0.811993909363787,jjlbjShnAJDovksMxebxbhExkgPiOH,484,2018-05-16
